MAŁOPOLSKIE;MpZakopaWIOSRown1701;MpZakopaSien;Zakopane,  Sienkiewicza;Zakopane; Sienkiewicza
MAZOWIECKIE;MzBelskIGFPAN;MzBelsIGFPAN;Belsk-IGFPAN;Belsk Duży;Osiedle PAN 1
MAZOWIECKIE;MzGranicaKPN;MzGranicaKPN;Granica-KPN;Granica; Kampinoski Park Narodowy
MAZOWIECKIE;MzLegionZegIMGW;MzLegZegrzyn;Legionowo-Zegrzyńska;Legionowo; Zegrzyńska 38
MAZOWIECKIE;MzMlawaOrdona;MzMlawOrdona;Mława-Ordona;Mława; Ordona 14
MAZOWIECKIE;MzOstrolHallera;MzOstroHalle;Ostrołęka-Hallera;Ostrołęka;gen. J. Hallera 12
MAZOWIECKIE;MzOtwockBrzoz;MzOtwoBrzozo;Otwock-Brzozowa;Otwock; Brzozowa 2
MAZOWIECKIE;MzPiastowPsk;MzPiasPsk;Piastów-Pułaskiego;Piastów; Pułaskiego 6
MAZOWIECKIE;MzPlockPKN;MzPlocKroJad;Płock-Gimnazjum;Płock; Królowej Jadwigi 4
MAZOWIECKIE;MzPlockReja;MzPlocMiReja;Płock-Reja;Płock; Reja 28
MAZOWIECKIE;MzRadomCz;MzRad25Czerw;Radom-Czerwca;Radom; 25 Czerwca 1976
MAZOWIECKIE;MzRadomHallera;MzRadHallera;Radom-Hallera;Radom; Hallera
MAZOWIECKIE;MzRadomTochter;MzRadTochter;Radom-Tochtermana;Radom; Tochtermana 1
MAZOWIECKIE;MzSiedlceKonar;MzSiedKonars;Siedlce-Konarskiego;Siedlce; Konarskiego 11
MAZOWIECKIE;MzWarszAKrzywon;MzWarAKrzywo;Warszawa-Anieli Krzywoń;Warszawa; Anieli Krzywoń
MAZOWIECKIE;MzWarNiepodKom;MzWarAlNiepo;Warszawa-Komunikacyjna;Warszawa;al. Niepodległości 227
