DsJelw05;DsWrocWie;KpCiechoTezniowa;KpWloclSielska;LbBialaPOrzechowa;LdLodzWSSEMWodna40;MpKrakowWIOSAKra6117;MpKrakowWIOSPrad6115;MzWarszKrucza;PkPrzemWIOSDolin
18;26,7;0;0;0;34;32,3;0;21,9;0
26;27,3;16,9;20,8;14;45;37,7;0;20,1;58,87
19;18,9;13,7;16,7;7;31;35;0;0;34,22
15;33;0;0;0;0;44,6;0;0;0
25;39;33,2;0;11;40;59,7;0;0;48,56
22;0;0;0;0;36;38,3;0;0;0
11;0;25;0;9;0;23,8;0;21,9;25,56
10;17,2;0;0;0;23;28,7;0;25,6;0
10;20,6;28,6;13;9;22;29,4;0;18,3;8,99
12;21,8;0;0;0;29;32,2;0;31,1;0
14;16,1;23,9;12,3;10;26;39,2;0;21,9;49,34
15;15,5;0;0;0;23;32,5;8;27,4;0
12;0;23,3;0;7;17;24,7;8,5;14,6;12,67
16;0;0;0;0;0;21,7;8,1;14,6;0
16;33;14,2;17,2;13;34;33,4;10,3;14,6;0
21;0;0;0;0;35;38,3;13,1;0;0
27;0;42,6;0;10;0;30,6;12,5;23,8;0
27;45,3;0;0;0;47;43,2;13,5;34,8;0
28;31,8;35,1;0;16;48;51;21,2;58,5;89,12
28;52,6;0;0;0;48;54,3;12,9;58,5;0
38;44,2;49,7;0;20;0;45,2;11,8;54,9;51,44
26;49;0;0;0;57;50,4;8,9;65,8;0
16;29,4;25,6;29,1;22;50;51,7;0;78,7;77,5
16;30,2;0;0;0;44;52,1;0;60,4;0
26;33,5;20,4;12,5;7;25;45,9;16,5;20,1;52,29
30;54,8;0;0;0;37;47,2;12;29,3;0
42;0;34,1;0;13;45;47,6;0;31,1;62,59
38;0;0;0;0;0;46,1;0;29,3;0
26;22;22,8;18,2;10;36;46,2;0;47,6;17,21
12;19;0;0;0;0;33,9;0;7,3;0
0;32,9;14,6;12,3;8;10;26,1;0;11;31,59
0;26,7;0;0;0;23;34;0;27,4;0
0;39,1;24,6;0;9;24;52,8;0;34;59,14
0;32,3;19,9;0;13;35;45,2;0;29,3;34,72
0;17,4;0;0;0;0;19,6;0;23,8;0
0;27,4;23,9;21,2;7;37;32,5;0;31,1;72,25
9;21,9;0;0;0;39;44,7;0;36,6;0
10;17,2;28,8;17,1;15;26;33,2;24,5;47,6;0
9;20,7;0;0;0;29;31,9;14,2;18,3;0
12;17,1;18,8;0;0;32;25,5;17,2;18,3;0
6;0;0;0;0;16;20,3;16,2;14,6;0
5;0;18,5;0;0;0;21,1;13,9;5,5;0
4;8,1;0;0;0;0;21,9;13,7;9,1;0
6;14,9;15,6;12,6;7;26;31,6;17,3;12,8;28,97
9;13,6;0;0;0;28;25,9;17,8;23,8;0
7;14,6;15;0;10;28;28,7;19,7;16,5;47,36
7;20,2;0;0;0;38;43,9;21,7;25,6;0
8;15,9;34,7;0;13;37;37,1;21,4;22;63,26
10;23,3;0;0;0;0;20,9;10,8;27,4;0
8;22,3;24,2;0;8;24;42,1;18,8;18,3;0
11;21,5;0;0;0;24;38,6;17,7;14,6;0
8;39,9;19,3;0;8;27;45,2;19,1;49,4;0
11;30;0;0;0;0;59,6;32,7;38,4;0
6;25,6;25,6;0;0;0;80,6;44,6;40,3;0
13;0;0;0;0;0;43,9;32,1;29,3;0
17;0;21,8;0;0;0;38,9;19,1;45,7;0
19;20,6;0;0;0;38;37,8;10,9;31,1;0
14;22,6;19,8;0;8;29;28,7;0;60,4;0
22;62,7;0;0;0;31;33,8;0;49,4;0
17;30,4;29,8;0;8;47;41,6;24,3;62,2;0
13;35,6;0;0;0;51;48,7;48,7;47,6;0
16;47,9;38,8;0;22;49;44,9;23,6;95,1;0
12;69,7;0;0;0;0;56,9;25,8;29,3;0
0;18,6;21,5;0;15;32;50,6;36,3;47,6;0
0;27;0;0;0;25;43,7;27,7;36,6;0
15;23;24,7;0;14;29;54,7;27,4;49,4;61,97
16;0;0;0;0;31;49;28,9;40,3;0
18;32,1;35,8;0;16;57;49,2;19,7;53;53,57
30;0;0;0;0;44;70,1;26,4;45,7;0
27;0;29,2;0;11;0;52,2;41,4;58,5;57,27
35;44,5;0;0;0;70;69,5;40,6;71,3;0
17;47,9;31,4;0;20;56;73,7;44,8;43,9;84,11
16;32,6;0;0;0;35;63,7;51,7;42,1;0
15;26,9;18,6;0;7;0;42,6;25,3;20,1;33,73
17;39,8;0;0;0;44;43,7;20,4;29,3;0
28;56,9;34,9;0;0;66;59,1;41,9;45,7;50,7
29;55,6;0;0;0;0;50,2;38,8;75;0
41;69,1;41,6;21,5;8;75;69,1;43,1;60,4;79,41
49;64,9;0;0;0;85;122,3;50,1;47,6;0
26;34,1;39,5;43,3;20;41;87,4;70,7;53;106,91
49;67;0;0;0;60;84,2;42,5;56,7;0
77;0;60,4;0;16;50;75,1;37,9;49,4;76,09
40;0;0;0;0;55;96,9;45,3;49,4;0
44;0;36,8;0;7;0;101,2;63,3;23,8;86,93
12;24,1;0;0;0;40;31,7;17,2;51,2;0
27;25,5;33;0;9;32;48,9;19;32,9;42,14
34;40;0;0;0;26;47,2;23,3;23,8;0
29;65;42,8;0;11;69;103,9;49,8;32,9;80,96
21;40,9;0;0;0;64;89;91,8;31,1;0
27;55,5;41,2;0;0;56;68,1;0;56,7;0
36;21,3;0;0;0;0;49,5;0;86;0
9;15,2;22,4;0;8;0;29,9;20,4;31,8;31,6
19;30,4;0;0;0;44;32,9;15,8;34,8;0
26;0;23,5;0;15;28;57,7;25,7;45,7;48,96
11;0;13,9;0;7;0;18,8;0;11;20,3
13;27,4;0;0;0;47;32,3;0;18,3;0
18;35,9;36,8;0;17;59;51,4;0;32,9;54,78
20;42;0;0;0;0;42,1;0;38,4;0
13;24,1;17,5;0;7;38;42,1;0;31,1;54,91
15;20,6;0;0;0;37;46,1;0;32,9;0
8;12,3;37,6;0;8;27;31,3;0;21,9;41,6
4;18;0;0;0;27;24,3;0;11;0
2;19,5;19,1;0;0;27;24,4;0;14,6;30,19
8;50,7;0;0;0;47;61,6;0;25,6;0
21;38,6;27,5;0;0;0;72,7;0;23,8;33,45
33;34,1;0;0;0;62;65,2;0;40,2;0
18;29;48,2;0;33;58;49,7;0;25,6;33,14
30;34,4;0;0;0;63;33,2;0;27,4;0
24;26;30,1;0;10;43;54,2;0;36,6;37,32
18;29,2;0;0;0;41;36,8;0;21,9;0
23;0;32;0;13;40;81,2;0;58,5;78,56
22;0;0;0;0;0;60,4;0;36,6;0
12;19,3;17,3;0;7;33;50,5;0;29,3;29,38
12;29,1;0;0;0;0;31;0;80,5;0
14;20,7;33,9;0;31;0;32,6;0;42,1;35,44
10;14,2;0;0;0;0;23,6;0;23,8;0
7;13,9;12,1;0;0;0;19,5;0;14,6;0
10;19,1;0;0;0;0;17,2;0;14,6;0
17;33,7;23,6;0;0;0;21,3;0;12,8;0
24;77,5;0;0;0;0;34,9;0;29,3;0
28;76;36,4;0;14;0;104;0;49,4;158,56
17;28,2;0;0;0;0;153,1;0;54,9;0
10;34,4;42,6;0;13;0;59,7;0;56,7;95,25
24;39,3;0;0;0;0;42,9;0;40,2;0
40;0;33,3;0;8;0;40,2;0;20,1;66,04
54;0;0;0;0;0;32,3;0;27,4;0
19;58,4;34,6;21,8;9;0;38,9;0;21,9;59,32
0;48,2;0;0;0;0;60,2;0;16,5;0
11;43,9;66,3;21,8;13;0;106;0;58,5;136,25
21;60,8;0;0;0;0;86,7;0;45,7;0
33;63,2;57,6;0;0;0;78,9;0;65,8;134,27
0;117,7;0;0;0;0;164,1;0;54,9;0
0;157,2;95,6;0;0;0;213,4;0;95,1;166,64
31;45,3;0;0;0;0;154,9;0;47,6;0
9;47,6;51;27,1;24;0;72,6;0;84,1;65,21
30;32,3;0;0;0;0;40,1;0;73,2;0
21;73,8;94,5;35,1;43;0;63,2;0;67,7;106,7
29;57,9;0;0;0;0;105,6;0;42,1;0
42;0;27,2;0;19;0;75,3;0;14,6;0
21;0;0;0;0;0;30,5;0;16,5;0
12;38,3;21,4;22,8;54;0;54,5;0;36,6;100,8
6;23,1;0;0;0;0;50,6;0;36,6;0
7;17,4;24,6;17,8;17;0;28,6;0;31,1;62,06
8;27,8;0;0;0;0;23,6;0;31,1;0
17;22,8;21,6;0;0;0;29,7;0;60,4;37,19
10;45,9;0;0;0;0;42,9;0;67,7;0
16;23,4;25,7;0;0;0;41,3;0;34,8;83,84
16;0;0;0;0;0;48,2;0;40,2;0
10;0;57,3;0;0;0;23;0;20,1;36,18
7;0;0;0;0;0;32;0;12,8;0
9;0;35,2;26,6;47;0;83,1;0;29,3;157,36
9;0;0;0;0;0;89;0;40,2;0
9;0;41,5;0;17;0;22,3;0;49,4;46,55
12;0;0;0;0;0;25,3;0;27,4;0
13;0;49,1;0;0;0;24;0;11;43,38
