DsWrocKorzA;LbLublinPiel;LdLodzWSSEMLegiono;MpKrakowWIOSBulw6118;MpKrakowWIOSPrad6115;Pm.63.wDSMm;SlKatowKato_kossu;SlZabrzZabr_sklod;SlZoryzZory_sikor
31;100,3;41;133,417;108,75;14;0;78,06;0
33,4;52;31;52,958;40,542;9;31;88,24;78
22,6;0;22;38,25;27,75;6;19;61,85;29
9,8;0;13;22,833;17,565;3;18;51,3;27
17,6;17,5;32;10,5;13;16;0;18,7;38
19,4;9,7;26;66,042;52,458;8;0;35,09;73
6,9;8,5;17;16,708;14,75;3;0;33,43;19
5,7;7;12;6,75;5,167;5;0;21,11;15
10,3;20;0;11,25;5,708;17;32;41,3;13
9,8;0;0;16,375;17,583;8;5;15,65;25
7,2;0;0;14,458;14,292;0;15;16,94;19
22,5;11,4;0;40,792;37,083;13;20;67,87;39
16,7;18,9;0;42,833;64,125;23;40;46,02;98
12,3;20,4;0;34,958;34,625;10;23;34,72;43
14,8;21,3;0;45,958;48,75;17;23;59,72;38
24,1;22;0;75,625;72,875;25;45;97,41;37
26,5;0;0;60,833;57,333;30;59;132,41;48
31,2;0;0;36,042;33,5;39;15;49,54;19
22,1;7,3;0;24,708;21,417;2;11;36,48;19
14,7;19,4;0;37,458;20,792;10;13;51,79;22
18,9;21,3;47;62,25;54,667;16;34;97,5;88
24,8;23,1;43;53,542;48,75;26;58;106,3;63
44,6;7;46;52,958;59,708;47;26;77,96;48
24,9;0;43;40,917;56,667;40;0;52,5;27
13,9;0;27;37,583;46,958;25;0;30,65;26
17,2;25,1;39;26,375;28,417;19;0;41,11;48
41,2;32;46;83,75;89,083;29;0;128,5;53
48,9;14,5;59;102,208;90,542;26;0;124,91;53
49,2;29,1;39;47,708;37,167;36;0;75,09;40
37,4;27,3;93;95,25;67,75;18;0;179,91;111
52,2;0;32;50,5;43,458;24;0;112,87;109
27,2;0;29;37,417;30,708;21;0;71,85;46
36,3;11,9;35;0;39,458;28;0;75,65;49
60,3;27,1;46;0;76,083;39;0;112,78;90
57,8;18;52;94,167;59,542;57;0;136,39;119
