DsJelw05;DsWrocWie;KpCiechoTezniowa;KpWloclSielska;KpWolice;LbBialaPOrzechowa;LbDorohWIOS;LbLublinPiel;LbLublin_Sliwins_5;LbZamoscHrubieszowsk;LdLodzWSSEMWodna40;MpKrakowWIOSAKra6117;MzWarszKrucza;PdLomzaKopernika16;PdSuwPulaski;WpPila5710111;ZpSzczWSSESped6
9;29,3;76,4;27,1;0;18;9,2;35;20,3;0;37;68,9;12,8;36,4;37,4;31;7
13;27,1;0;0;0;0;0;55;37,4;0;38;104,9;65,9;0;0;0;0
6;17,3;23,8;0;0;15;12,7;39;0;0;20;78;45,7;31,8;24,3;31;0
7;13,9;0;0;0;0;0;26;0;0;0;79,6;25,6;0;0;0;0
12;18,8;43,3;14,1;20;10;8,2;23;0;15,4;23;69,2;20,1;34,4;29,3;0;0
9;25,2;0;0;44;0;0;19;0;24,2;27;49,4;16,5;0;0;0;13
11;21,4;28,8;27,6;20;11;7,4;34;0;19,6;41;75,2;25,6;129,4;97,4;61;7
10;12;0;0;18;0;0;42;0;0;33;106,5;86;0;0;42;0
7;10,6;9,9;0;7;15;6,4;44;0;0;16;71,6;21,9;50,1;44;0;0
4;28,2;0;0;0;0;0;52;0;0;39;57;11;0;0;0;0
11;49,9;29,7;0;0;10;9,6;30;0;0;0;102,1;29,3;25,1;57,1;38;0
10;66,5;0;0;11;0;0;46;0;0;53;130,1;22;0;0;0;17
15;26,7;30,3;35,3;9;12;12,3;43;0;0;55;106;12,8;40,5;45,8;81;23
21;66,5;0;0;7;0;0;55;0;0;78;90,4;23,8;0;0;108;3
28;50,2;50;59,2;7;25;15,8;68;0;72,3;77;82,3;47,6;72,2;50;103;16
12;17,1;0;0;11;0;0;59;0;58,9;45;69,6;98,8;0;0;0;0
7;14,4;13,2;0;0;6;10,8;18;0;5;23;37;21,9;28,1;42,3;20;0
4;19,3;0;0;0;0;0;18;0;0;0;39,3;29,3;0;0;0;0
4;14,2;13,8;15,2;39;6;9,1;15;17,4;0;22;27,7;40,2;36,3;53,8;38;0
4;12,5;0;0;45;0;0;17;17,8;0;26;38,9;12,8;0;0;56;0
9;25,9;49,9;36,1;29;15;4,2;35;24,8;0;31;54,1;20,1;30,5;17,6;0;0
17;30,1;0;0;27;0;0;35;36,5;0;32;62,5;27,4;0;0;0;0
15;25,4;26,5;0;30;6;4,7;27;24,1;0;22;41,8;27,4;9,7;48,7;0;0
15;21,6;0;0;0;0;0;20;21,4;0;12;34,9;60,4;0;0;58;0
11;17,9;48,5;0;0;7;6;17;13,8;14,5;0;34,4;51,2;27;12,3;0;0
11;32,7;0;0;15;0;0;21;20,8;31,6;40;63,2;32,9;0;0;0;0
10;41,2;24,3;28;23;16;3,6;52;29,4;6;48;80,7;29,3;32;71;49;0
